Date,Total number of COVID patients in hospital today,Net new hospitalizations,5 day average of net new hospitalizations,ICU,Net New number ICU,Total number intubated,Net New number intubated
4/4/2020,1370,731,685,438,242,,
4/5/2020,1632,262,544,526,88,,
4/6/2020,1677,45,419.25,542,16,,
4/7/2020,1831,154,366.2,575,33,,
4/8/2020,2119,288,296,659,84,,
4/9/2020,2302,183,186.4,685,26,,
4/10/2020,2435,133,160.6,701,16,,
4/11/2020,2507,72,166,745,44,,
4/12/2020,2554,47,144.6,765,20,,
4/13/2020,3485,931,273.2,942,942,782,782
4/14/2020,3616,131,262.8,965,23,733,-49
4/15/2020,3637,21,240.4,987,22,769,36
4/16/2020,3726,89,243.8,998,11,826,57
4/17/2020,3756,30,240.4,1003,5,814,-12
4/18/2020,3728,-28,48.6,1000,-3,821,7
4/19/2020,3789,61,34.6,1020,20,813,-8
4/20/2020,3867,78,46,1040,20,824,11
4/21/2020,3965,98,47.8,1050,10,842,18
4/22/2020,3873,-92,23.4,1034,-16,831,-11
4/23/2020,3830,-43,20.4,1048,14,810,-21
4/24/2020,3830,0,8.2,1058,10,795,-15
4/25/2020,3854,24,-2.6,1077,19,816,21
4/26/2020,3892,38,-14.6,1089,12,811,-5
4/27/2020,3875,-17,0.4,1005,-79,785,-26
4/28/2020,3856,-19,5.2,1011,1,763,-22
4/29/2020,3803,-53,-5.4,1001,-10,746,-17
4/30/2020,3716,-87,-27.6,947,-49,727,-19
5/1/2020,3601,-115,-58.2,921,-27,714,-13
5/2/2020,3617,16,-51.6,904,-18,684,-30
5/3/2020,3539,-78,-63.4,908,6,675,-9
5/4/2020,3542,3,-52.2,914,1,688,13
5/5/2020,3562,20,-30.8,922,8,685,-3
5/6/2020,3436,-126,-33,852,-69,656,-29
5/7/2020,3349,-87,-53.6,826,-21,643,-13
5/8/2020,3229,-120,-62,814,-18,619,-24
5/9/2020,3128,-101,-82.8,810,-4,616,-3
5/10/2020,3102,-26,-92,813,3,630,14
5/11/2020,3127,25,-61.8,818,5,617,-13
5/12/2020,3101,-26,-49.6,794,-24,623,6
5/13/2020,2859,-242,-74,781,-13,601,-22
5/14/2020,2767,-92,-72.2,749,-32,584,-17
5/15/2020,2692,-75,-82,747,-2,576,-8
5/16/2020,2597,-95,-106,702,-45,558,-18
5/17/2020,2533,-64,-113.6,674,-28,533,-25
5/18/2020,2472,-61,-77.4,672,-2,534,1
5/19/2020,2518,46,-49.8,675,3,513,-21
5/20/2020,2396,-122,-59.2,647,-28,493,-20
5/21/2020,2323,-73,-54.8,628,-19,454,-39
5/22/2020,2237,-86,-59.2,610,-18,452,-2
5/23/2020,2169,-68,-60.6,558,-52,433,-19
5/24/2020,2132,-37,-77.2,576,-2,413,-20
5/25/2020,2108,-24,-57.6,560,4,424,11
5/26/2020,2106,-2,-43.4,556,-4,404,-20
5/27/2020,2112,6,-25,533,-23,377,-27
5/28/2020,1991,-121,-35.6,485,-48,339,-38
5/29/2020,1904,-87,-45.6,453,-32,315,-24
5/30/2020,1824,-80,-56.8,436,-17,300,-15
5/31/2020,1747,-77,-71.8,404,-32,289,-11
6/1/2020,1657,-90,-91,394,-10,269,-20
